w_val,q2_val,gen_events,flux,weight,cross_section,formfactor,formfactor_krishna,cs_scaled,cs_scaled_krishna,cs_scaled_unc,cs_scaled_krishna_unc,cs_unc
1.625,2.25,17461,0.00020,13.54142,3.82486,1.37731,1.39677,5.26804,5.34245,0.05130,0.05203,0.03725
1.625,2.75,17348,0.00013,5.99203,2.66457,1.31071,1.29729,3.49246,3.45672,0.03369,0.03334,0.02570
1.625,3.25,17558,0.00009,3.07220,1.98612,1.25573,1.21703,2.49402,2.41716,0.02389,0.02315,0.01902
1.625,3.75,17350,0.00006,1.64279,1.51172,1.20923,1.15047,1.82801,1.73919,0.01753,0.01668,0.01450
1.625,4.25,17344,0.00005,0.93638,1.17102,1.16914,1.09409,1.36908,1.28119,0.01310,0.01226,0.01121
1.625,4.75,17554,0.00003,0.57591,0.94032,1.13406,1.04552,1.06638,0.98312,0.01015,0.00935,0.00895
1.625,5.25,17511,0.00003,0.36457,0.77079,1.10298,1.00310,0.85016,0.77318,0.00813,0.00739,0.00737
1.625,5.75,17509,0.00002,0.23689,0.63485,1.07516,0.96562,0.68256,0.61302,0.00649,0.00583,0.00604
1.625,6.25,17479,0.00002,0.15845,0.53045,1.05004,0.93219,0.55700,0.49448,0.00537,0.00477,0.00511
1.625,6.75,17512,0.00001,0.10893,0.44761,1.02720,0.90213,0.45979,0.40380,0.00439,0.00386,0.00428
1.625,7.25,17388,0.00001,0.07686,0.38641,1.00629,0.87489,0.38884,0.33806,0.00374,0.00325,0.00372
1.625,7.75,17519,0.00001,0.05538,0.33201,0.98704,0.85007,0.32771,0.28223,0.00314,0.00271,0.00319
1.625,8.25,17477,0.00001,0.04034,0.28848,0.96924,0.82732,0.27960,0.23866,0.00270,0.00230,0.00278
1.625,8.75,17540,0.00001,0.03020,0.25383,0.95270,0.80637,0.24183,0.20468,0.00233,0.00197,0.00245
1.625,9.25,17336,0.00001,0.02231,0.22204,0.93728,0.78699,0.20811,0.17474,0.00200,0.00168,0.00214
1.625,9.75,17538,0.00000,0.01721,0.19672,0.92284,0.76899,0.18154,0.15127,0.00175,0.00146,0.00190
1.625,10.25,17661,0.00000,0.01354,0.17722,0.90929,0.75221,0.16114,0.13330,0.00155,0.00128,0.00171
1.625,10.75,17861,0.00000,0.01064,0.15788,0.89652,0.73653,0.14154,0.11628,0.00135,0.00111,0.00151
1.6749999999999998,2.25,17551,0.00021,17.96267,4.76750,1.37731,1.39677,6.56634,6.65910,0.06318,0.06407,0.04587
1.6749999999999998,2.75,17577,0.00014,8.13606,3.35393,1.31071,1.29729,4.39602,4.35103,0.04220,0.04177,0.03219
