w_val,q2_val,gen_events,weight,rec_events,weight_rec,flux,cross_section,formfactor,formfactor_krishna,cs_scaled,cs_scaled_krishna,cs_scaled_unc,cs_scaled_krishna_unc,cs_unc
1.975,2.7,20587,12.08752,1331,0.8246,0.00018,3.17859,1.31678,1.30626,4.1855,4.15207,0.04193,0.0416,0.03185
1.975,3.25,17453,4.97597,1421,0.407,0.00012,2.28769,1.25573,1.21703,2.87272,2.78419,0.03069,0.02975,0.02444
1.975,3.85,24198,3.53993,2189,0.32567,9e-05,1.70783,1.20075,1.13847,2.05068,1.94431,0.01862,0.01765,0.0155
1.975,4.6,27726,1.95599,2619,0.18867,6e-05,1.24111,1.14412,1.05938,1.41998,1.3148,0.0121,0.01121,0.01058
1.975,5.5,34466,1.13817,3555,0.11852,4e-05,0.89182,1.0887,0.9838,0.97092,0.87737,0.00739,0.00668,0.00679
1.975,6.5,34802,0.5474,3341,0.0536,2e-05,0.64377,1.03836,0.91677,0.66847,0.5902,0.00502,0.00443,0.00484
1.975,7.5,34771,0.28327,3102,0.0244,2e-05,0.4814,0.99647,0.8622,0.4797,0.41507,0.00358,0.0031,0.00359
1.975,8.5,34868,0.1604,2766,0.0127,1e-05,0.37768,0.96082,0.81663,0.36288,0.30843,0.00268,0.00228,0.00279
1.975,9.5,35084,0.09482,2144,0.00522,1e-05,0.29871,0.92994,0.77782,0.27779,0.23235,0.00205,0.00171,0.0022
1.975,10.5,35180,0.05946,1595,0.0023,1e-05,0.24483,0.90281,0.74424,0.22104,0.18221,0.00161,0.00133,0.00179
2.025,2.2,14073,16.04836,631,0.73695,0.00029,3.99425,1.38479,1.40808,5.53119,5.62424,0.06579,0.0669,0.04751
2.025,2.7,20752,11.52347,1327,0.7775,0.00019,2.92892,1.31678,1.30626,3.85674,3.82593,0.03887,0.03856,0.02952
2.025,3.25,17404,4.77669,1481,0.44073,0.00013,2.13532,1.25573,1.21703,2.68138,2.59874,0.02906,0.02816,0.02314
2.025,3.85,24367,3.46332,2246,0.34067,9e-05,1.60196,1.20075,1.13847,1.92355,1.82377,0.01778,0.01685,0.0148
2.025,4.6,28039,1.92306,2800,0.19916,6e-05,1.15981,1.14412,1.05938,1.32697,1.22868,0.01137,0.01053,0.00994
2.025,5.5,34996,1.14744,3531,0.1203,4e-05,0.84749,1.0887,0.9838,0.92267,0.83377,0.00715,0.00646,0.00657
2.025,6.5,34699,0.5399,3553,0.05593,3e-05,0.60713,1.03836,0.91677,0.63042,0.5566,0.00482,0.00426,0.00464
2.025,7.5,34707,0.28125,3253,0.02639,2e-05,0.45501,0.99647,0.8622,0.4534,0.39231,0.00344,0.00297,0.00345
2.025,8.5,35083,0.15877,2794,0.01177,1e-05,0.35201,0.96082,0.81663,0.33822,0.28746,0.00257,0.00218,0.00267
2.025,9.5,34821,0.09362,2103,0.00501,1e-05,0.28077,0.92994,0.77782,0.2611,0.21839,0.00198,0.00166,0.00213
2.025,10.5,35155,0.05851,1510,0.00221,1e-05,0.22725,0.90281,0.74424,0.20517,0.16913,0.00154,0.00127,0.0017
2.075,2.2,14083,15.72894,675,0.7636,0.00029,3.84538,1.38479,1.40808,5.32504,5.41462,0.06543,0.06653,0.04725
2.075,2.7,20753,11.38593,1468,0.80582,0.00019,2.82927,1.31678,1.30626,3.72552,3.69576,0.03848,0.03817,0.02922
2.075,3.25,17666,4.86091,1494,0.43119,0.00013,2.083,1.25573,1.21703,2.61568,2.53507,0.02877,0.02788,0.02291
2.075,3.85,24595,3.45342,2242,0.3212,9e-05,1.53333,1.20075,1.13847,1.84114,1.74564,0.01728,0.01638,0.01439
2.075,4.6,28232,1.96857,2870,0.20263,6e-05,1.13746,1.14412,1.05938,1.3014,1.205,0.01146,0.01061,0.01002
