w_val,q2_val,gen_events,weight,rec_events,weight_rec,flux,cross_section,formfactor,cs_scaled,acceptance,acceptance_no_wt,luminosity_had,q_had,elec_cs,lumi_elec,q_elec,no_of_sec_45nA,no_year_45nA
2.075,3.85,99906,16.23849,1072,0.15859,0.00011,1.49724,1.20075,1.79781,0.009766302162331597,0.010730086281104239,1.1390847745939641e+35,8.602709573249483e-08,0.00016253768542429884,1.2599281165268931e+39,0.0009516073387665355,21146.829750367455,0.0006705615725002364
2.075,4.6,114676,9.17069,4139,0.32775,7e-05,1.08564,1.14412,1.2421,0.035738859344280526,0.03609299243084865,4.505393691486411e+34,3.4026083313091236e-08,7.99704384526841e-05,6.997772692601068e+38,0.0005285326807100504,11745.170682445563,0.00037243691915415917
2.075,5.5,142804,5.49695,7959,0.3052,5e-05,0.7836,1.0887,0.8531,0.055521698396383455,0.0557337329486569,4.222477179442547e+34,3.188941303105919e-08,3.849296938461107e-05,9.358060288335516e+38,0.0007068021365812323,15706.714146249607,0.0004980566383260276
2.075,6.5,143035,2.6881,11016,0.20868,3e-05,0.567,1.03836,0.58875,0.07763104051188573,0.07701611493690355,4.375862513821587e+34,3.304782504207829e-08,1.8793302338588458e-05,1.3708548974506417e+39,0.0010353888953554694,23008.64211901043,0.0007295992554227052
2.075,7.5,142701,1.4341,13251,0.13112,2e-05,0.42963,0.99647,0.42811,0.09143016526044208,0.0928584943343074,5.109579003041434e+34,3.858907184533973e-08,1.0049684304945304e-05,2.1766473459426483e+39,0.0016439934637029064,36533.18808228681,0.0011584597945930623
2.075,8.5,143352,0.81456,15349,0.08517,2e-05,0.33242,0.96082,0.31939,0.10455951679434296,0.10707210223784809,5.988873140427815e+34,4.52297646735731e-08,5.682236731960489e-06,3.366255723846425e+39,0.0025424892174066654,56499.760386814785,0.0017915956489984394
2.075,10.0,286838,0.80227,32411,0.08835,1e-05,0.24895,0.91596,0.22803,0.11012502025502635,0.11299409422740363,7.964380623772907e+34,6.014938919849639e-08,2.796944616822039e-06,6.49322014714205e+39,0.004904244824125414,108983.21831389809,0.0034558351824549114
2.075,12.0,287476,0.33559,31887,0.03615,1e-05,0.16919,0.86759,0.14679,0.10772073065347597,0.11092056380358709,1.2648360483738825e+35,9.552420877379974e-08,1.1673670149855989e-06,1.5904619640387274e+40,0.012012552598479814,266945.6132995514,0.008464789868707237
2.075,14.0,286341,0.15863,29792,0.01598,0.0,0.12292,0.82833,0.10182,0.1007375654037698,0.1040437799686388,1.9498690786386142e+35,1.4725995609384594e-07,5.539898233225419e-07,3.583742177722152e+40,0.027067539106662777,601500.8690369506,0.01907346743521533
2.075,16.5,430856,0.10797,37591,0.00926,0.0,0.0887,0.78815,0.06991,0.08576456423080485,0.08724724734017862,3.335667919846344e+35,2.51919637478011e-07,2.505941660322706e-07,9.305745140388769e+40,0.07028508414190912,1561890.7587090917,0.04952723106002954
2.075,19.5,429785,0.04635,28797,0.00314,0.0,0.06213,0.74904,0.04654,0.06774541531823085,0.06700326907639867,6.343423505292345e+35,4.790743527899965e-07,1.0784461998441082e-07,2.737484076433121e+41,0.20675861604479762,4594635.912106614,0.14569494901403518
2.075,23.0,574252,0.02714,25660,0.00127,0.0,0.04448,0.71209,0.03167,0.04679439941046426,0.044684215292241036,1.3495471259966833e+36,1.0192184321400824e-06,4.726148102226897e-08,9.043338582677164e+41,0.683031615005828,15178480.333462844,0.48130645400376854
2.075,27.5,716292,0.01377,12723,0.00029,0.0,0.03088,0.67395,0.02081,0.02106027596223675,0.017762309225846443,4.5634558981921817e+36,3.446458649793959e-06,1.9224003618635974e-08,4.939944827586207e+42,3.7310761537660166,82912803.4170226,2.6291477491445523
2.125,3.25,71663,22.01407,1,0.00024,0.00016,1.92819,1.25573,2.42128,1.090211850875372e-05,1.3954202308025062e-05,7.576595161787704e+37,5.722071717987843e-05,0.0003071887864030253,5.971916666666666e+41,0.4510511077542798,10023357.950095108,0.3178385955763289
