w_val,q2_val,gen_events,weight,rec_events,weight_rec,flux,cross_section,formfactor,cs_scaled
1.825,7.5,143104,1.21674,12239,0.09549,2e-05,0.48595,0.99647,0.48423
1.825,8.5,142775,0.67606,14485,0.06251,1e-05,0.37476,0.96082,0.36007
1.825,10.0,286776,0.65492,32154,0.06621,1e-05,0.27905,0.91596,0.2556
1.825,12.0,286969,0.26943,31739,0.02831,0.0,0.18971,0.86759,0.16459
1.825,14.0,285876,0.12474,30149,0.01253,0.0,0.13665,0.82833,0.11319
1.825,16.5,430608,0.08419,37698,0.00714,0.0,0.0989,0.78815,0.07795
1.825,19.5,429172,0.03551,28236,0.00236,0.0,0.06897,0.74904,0.05166
1.825,23.0,573841,0.02051,24286,0.00095,0.0,0.04923,0.71209,0.03505
1.825,27.5,717143,0.01029,12046,0.00021,0.0,0.03418,0.67395,0.02303
1.875,3.85,100554,15.57805,891,0.11968,9e-05,1.68508,1.20075,2.02335
1.875,4.6,114783,8.62675,3479,0.24648,6e-05,1.22491,1.14412,1.40145
1.875,5.5,142834,5.05794,7104,0.2468,4e-05,0.87925,1.0887,0.95724
1.875,6.5,143702,2.44539,10194,0.17255,3e-05,0.63506,1.03836,0.65942
1.875,7.5,142953,1.28303,12326,0.10556,2e-05,0.48005,0.99647,0.47836
1.875,8.5,143496,0.72309,14643,0.06779,1e-05,0.37236,0.96082,0.35777
1.875,10.0,286763,0.69917,31945,0.07266,1e-05,0.27736,0.91596,0.25405
1.875,12.0,287047,0.29189,32018,0.03073,1e-05,0.19072,0.86759,0.16546
1.875,14.0,287011,0.13688,30268,0.01386,0.0,0.1383,0.82833,0.11456
1.875,16.5,430604,0.09254,38085,0.00785,0.0,0.10041,0.78815,0.07914
1.875,19.5,430027,0.03949,28159,0.00255,0.0,0.07053,0.74904,0.05283
1.875,23.0,572946,0.02302,24623,0.00103,0.0,0.05088,0.71209,0.03623
1.875,27.5,716986,0.01163,12376,0.00024,0.0,0.03544,0.67395,0.02389
1.925,3.85,99769,15.89273,958,0.12951,0.0001,1.6524,1.20075,1.98412
1.925,4.6,114730,8.89851,3709,0.27905,6e-05,1.20053,1.14412,1.37356
1.925,5.5,143280,5.31774,7421,0.2763,4e-05,0.87175,1.0887,0.94907
1.925,6.5,143093,2.56384,10727,0.19046,3e-05,0.63033,1.03836,0.6545
1.925,7.5,143470,1.35626,12512,0.11222,2e-05,0.47529,0.99647,0.47362
1.925,8.5,143472,0.77016,14829,0.07554,1e-05,0.37199,0.96082,0.35741
1.925,10.0,287113,0.75263,32550,0.08008,1e-05,0.27884,0.91596,0.25541
1.925,12.0,286585,0.31378,32197,0.03343,1e-05,0.19143,0.86759,0.16608
1.925,14.0,285726,0.14824,30200,0.01474,0.0,0.13991,0.82833,0.1159
1.925,16.5,429807,0.10111,37992,0.00844,0.0,0.10197,0.78815,0.08037
1.925,19.5,429510,0.0434,28300,0.00276,0.0,0.07182,0.74904,0.0538
1.925,23.0,573016,0.02552,25084,0.00111,0.0,0.05208,0.71209,0.03708
1.925,27.5,718437,0.01309,12506,0.00025,0.0,0.03666,0.67395,0.02471
1.975,3.85,99658,16.50571,1008,0.14391,0.0001,1.64527,1.20075,1.97556
1.975,4.6,113492,9.26573,3860,0.30953,7e-05,1.20516,1.14412,1.37885
1.975,5.5,141075,5.47804,7574,0.28529,4e-05,0.86636,1.0887,0.94321
1.975,6.5,141832,2.67077,10877,0.1985,3e-05,0.62706,1.03836,0.65111
1.975,7.5,141724,1.41229,12818,0.12218,2e-05,0.47291,0.99647,0.47124
1.975,8.5,141360,0.80486,15137,0.07982,2e-05,0.37153,0.96082,0.35697
1.975,10.0,284638,0.7878,32377,0.08379,1e-05,0.27642,0.91596,0.25319
1.975,12.0,284074,0.3288,32034,0.03495,1e-05,0.18941,0.86759,0.16433
1.975,14.0,285969,0.15752,30096,0.0156,0.0,0.13869,0.82833,0.11488
1.975,16.5,426771,0.10629,37711,0.00876,0.0,0.10054,0.78815,0.07924
1.975,19.5,428635,0.04579,28680,0.00297,0.0,0.07055,0.74904,0.05284
1.975,23.0,570984,0.0268,25315,0.00118,0.0,0.05087,0.71209,0.03622
1.975,27.5,716506,0.0137,12764,0.00026,0.0,0.03558,0.67395,0.02398
2.025,3.25,71856,22.0109,1,0.00036,0.00015,2.04286,1.25573,2.56527
2.025,3.85,100562,16.27699,1057,0.15389,0.0001,1.54564,1.20075,1.85592
2.025,4.6,114535,9.09353,3985,0.31726,7e-05,1.12195,1.14412,1.28365
2.025,5.5,143129,5.44917,7955,0.29863,5e-05,0.80994,1.0887,0.88178
2.025,6.5,143192,2.66338,10904,0.20196,3e-05,0.58852,1.03836,0.6111
2.025,7.5,142943,1.40706,13238,0.12893,2e-05,0.44259,0.99647,0.44103
2.025,8.5,143566,0.80471,15161,0.08348,2e-05,0.34571,0.96082,0.33216
2.025,10.0,287869,0.7916,32507,0.08604,1e-05,0.25882,0.91596,0.23706
2.025,12.0,285722,0.329,32204,0.0366,1e-05,0.17703,0.86759,0.15359
2.025,14.0,286424,0.15624,30106,0.01584,0.0,0.12871,0.82833,0.10661
2.025,16.5,430656,0.10654,37504,0.00895,0.0,0.09336,0.78815,0.07358
2.025,19.5,430011,0.04581,28864,0.00304,0.0,0.0656,0.74904,0.04914
2.025,23.0,574031,0.0268,25563,0.00125,0.0,0.04708,0.71209,0.03352
2.025,27.5,716929,0.01367,12800,0.00028,0.0,0.03293,0.67395,0.02219
2.075,3.85,99906,16.23849,1072,0.15859,0.00011,1.49724,1.20075,1.79781
2.075,4.6,114676,9.17069,4139,0.32775,7e-05,1.08564,1.14412,1.2421
2.075,5.5,142804,5.49695,7959,0.3052,5e-05,0.7836,1.0887,0.8531
2.075,6.5,143035,2.6881,11016,0.20868,3e-05,0.567,1.03836,0.58875
2.075,7.5,142701,1.4341,13251,0.13112,2e-05,0.42963,0.99647,0.42811
2.075,8.5,143352,0.81456,15349,0.08517,2e-05,0.33242,0.96082,0.31939
