w_val,q2_val,gen_events,flux,weight,cross_section,formfactor,formfactor_krishna,cs_scaled,cs_scaled_krishna,cs_scaled_unc,cs_scaled_krishna_unc,cs_unc
1.5750000000000002,9.75,71955,0.00000,0.00001,0.00002,0.92284,0.76899,0.00002,0.00002,0.00000,0.00000,0.00000
1.5750000000000002,10.25,71840,0.00000,0.00001,0.00002,0.90929,0.75221,0.00002,0.00002,0.00000,0.00000,0.00000
1.5750000000000002,10.75,71676,0.00000,0.00000,0.00002,0.89652,0.73653,0.00002,0.00001,0.00000,0.00000,0.00000
1.625,2.25,71418,0.00020,0.00582,0.00040,1.37731,1.39677,0.00055,0.00056,0.00000,0.00000,0.00000
1.625,2.75,71925,0.00013,0.00269,0.00029,1.31071,1.29729,0.00038,0.00037,0.00000,0.00000,0.00000
1.625,3.25,71675,0.00009,0.00136,0.00021,1.25573,1.21703,0.00027,0.00026,0.00000,0.00000,0.00000
1.625,3.75,71426,0.00006,0.00074,0.00017,1.20923,1.15047,0.00020,0.00019,0.00000,0.00000,0.00000
1.625,4.25,72094,0.00005,0.00044,0.00013,1.16914,1.09409,0.00015,0.00014,0.00000,0.00000,0.00000
1.625,4.75,71270,0.00003,0.00026,0.00011,1.13406,1.04552,0.00012,0.00011,0.00000,0.00000,0.00000
1.625,5.25,71622,0.00003,0.00017,0.00009,1.10298,1.00310,0.00010,0.00009,0.00000,0.00000,0.00000
1.625,5.75,71518,0.00002,0.00011,0.00007,1.07516,0.96562,0.00008,0.00007,0.00000,0.00000,0.00000
1.625,6.25,71865,0.00002,0.00008,0.00006,1.05004,0.93219,0.00007,0.00006,0.00000,0.00000,0.00000
1.625,6.75,71614,0.00001,0.00005,0.00005,1.02720,0.90213,0.00006,0.00005,0.00000,0.00000,0.00000
1.625,7.25,71732,0.00001,0.00004,0.00005,1.00629,0.87489,0.00005,0.00004,0.00000,0.00000,0.00000
1.625,7.75,71777,0.00001,0.00003,0.00004,0.98704,0.85007,0.00004,0.00003,0.00000,0.00000,0.00000
1.625,8.25,71247,0.00001,0.00002,0.00004,0.96924,0.82732,0.00003,0.00003,0.00000,0.00000,0.00000
1.625,8.75,71722,0.00001,0.00002,0.00003,0.95270,0.80637,0.00003,0.00003,0.00000,0.00000,0.00000
1.625,9.25,71919,0.00001,0.00001,0.00003,0.93728,0.78699,0.00003,0.00002,0.00000,0.00000,0.00000
1.625,9.75,71912,0.00000,0.00001,0.00003,0.92284,0.76899,0.00002,0.00002,0.00000,0.00000,0.00000
1.625,10.25,71572,0.00000,0.00001,0.00002,0.90929,0.75221,0.00002,0.00002,0.00000,0.00000,0.00000
1.625,10.75,71968,0.00000,0.00001,0.00002,0.89652,0.73653,0.00002,0.00002,0.00000,0.00000,0.00000
1.6749999999999998,2.25,71934,0.00021,0.00780,0.00050,1.37731,1.39677,0.00070,0.00071,0.00000,0.00000,0.00000
1.6749999999999998,2.75,71812,0.00014,0.00362,0.00036,1.31071,1.29729,0.00048,0.00047,0.00000,0.00000,0.00000
1.6749999999999998,3.25,71627,0.00009,0.00185,0.00027,1.25573,1.21703,0.00034,0.00033,0.00000,0.00000,0.00000
1.6749999999999998,3.75,71433,0.00007,0.00102,0.00021,1.20923,1.15047,0.00026,0.00024,0.00000,0.00000,0.00000
1.6749999999999998,4.25,72027,0.00005,0.00061,0.00017,1.16914,1.09409,0.00020,0.00019,0.00000,0.00000,0.00000
1.6749999999999998,4.75,71825,0.00004,0.00038,0.00014,1.13406,1.04552,0.00016,0.00015,0.00000,0.00000,0.00000
1.6749999999999998,5.25,71372,0.00003,0.00024,0.00012,1.10298,1.00310,0.00013,0.00012,0.00000,0.00000,0.00000
1.6749999999999998,5.75,71729,0.00002,0.00016,0.00010,1.07516,0.96562,0.00010,0.00009,0.00000,0.00000,0.00000
1.6749999999999998,6.25,71894,0.00002,0.00011,0.00008,1.05004,0.93219,0.00009,0.00008,0.00000,0.00000,0.00000
1.6749999999999998,6.75,71674,0.00002,0.00008,0.00007,1.02720,0.90213,0.00007,0.00007,0.00000,0.00000,0.00000
