w_val_rec,q2_val_rec,rec_events,weight_rec
1.775,10.75,797,0.00089
1.8250000000000002,2.25,676,0.71278
1.8250000000000002,2.75,1015,0.53173
1.8250000000000002,3.25,1244,0.33375
1.8250000000000002,3.75,1436,0.21761
1.8250000000000002,4.25,1565,0.13296
1.8250000000000002,4.75,1612,0.08683
1.8250000000000002,5.25,1686,0.05918
1.8250000000000002,5.75,1722,0.03839
1.8250000000000002,6.25,1621,0.02608
1.8250000000000002,6.75,1637,0.01806
1.8250000000000002,7.25,1585,0.01295
1.8250000000000002,7.75,1561,0.00897
1.8250000000000002,8.25,1372,0.00598
1.8250000000000002,8.75,1352,0.00432
1.8250000000000002,9.25,1238,0.00301
1.8250000000000002,9.75,1044,0.00200
1.8250000000000002,10.25,893,0.00127
1.8250000000000002,10.75,764,0.00084
1.875,2.25,714,0.82732
1.875,2.75,1051,0.59622
1.875,3.25,1276,0.37753
1.875,3.75,1456,0.24254
1.875,4.25,1511,0.14662
1.875,4.75,1613,0.09486
1.875,5.25,1706,0.06532
1.875,5.75,1683,0.04400
1.875,6.25,1695,0.02837
1.875,6.75,1669,0.02088
1.875,7.25,1639,0.01482
1.875,7.75,1605,0.00985
1.875,8.25,1368,0.00628
1.875,8.75,1331,0.00482
1.875,9.25,1139,0.00289
1.875,9.75,1031,0.00204
1.875,10.25,889,0.00131
1.875,10.75,716,0.00083
1.9249999999999998,2.25,782,0.87159
1.9249999999999998,2.75,1168,0.64544
1.9249999999999998,3.25,1336,0.40371
1.9249999999999998,3.75,1515,0.24370
1.9249999999999998,4.25,1610,0.16395
1.9249999999999998,4.75,1709,0.10429
1.9249999999999998,5.25,1676,0.06713
1.9249999999999998,5.75,1780,0.04611
1.9249999999999998,6.25,1760,0.03198
1.9249999999999998,6.75,1714,0.02180
1.9249999999999998,7.25,1590,0.01428
1.9249999999999998,7.75,1543,0.01036
1.9249999999999998,8.25,1473,0.00697
1.9249999999999998,8.75,1354,0.00497
1.9249999999999998,9.25,1167,0.00314
1.9249999999999998,9.75,1019,0.00199
1.9249999999999998,10.25,855,0.00129
1.9249999999999998,10.75,716,0.00092
1.975,2.25,757,0.83441
1.975,2.75,1139,0.64805
1.975,3.25,1421,0.40700
1.975,3.75,1562,0.25328
1.975,4.25,1590,0.15823
1.975,4.75,1656,0.10283
1.975,5.25,1790,0.07000
1.975,5.75,1765,0.04852
1.975,6.25,1699,0.03257
1.975,6.75,1642,0.02103
1.975,7.25,1600,0.01446
1.975,7.75,1502,0.00994
1.975,8.25,1465,0.00771
1.975,8.75,1301,0.00500
1.975,9.25,1115,0.00307
1.975,9.75,1029,0.00214
1.975,10.25,903,0.00140
1.975,10.75,692,0.00090
2.025,2.25,832,0.90120
2.025,2.75,1126,0.61325
2.025,3.25,1481,0.44073
2.025,3.75,1586,0.26459
2.025,4.25,1700,0.16974
2.025,4.75,1760,0.10550
2.025,5.25,1800,0.07251
2.025,5.75,1731,0.04779
2.025,6.25,1824,0.03395
2.025,6.75,1729,0.02198
2.025,7.25,1693,0.01574
2.025,7.75,1560,0.01065
2.025,8.25,1466,0.00705
2.025,8.75,1328,0.00472
2.025,9.25,1047,0.00291
2.025,9.75,1056,0.00211
2.025,10.25,833,0.00137
2.025,10.75,677,0.00084
2.075,2.25,877,0.91855
2.075,2.75,1266,0.65087
2.075,3.25,1494,0.43119
2.075,3.75,1587,0.24904
2.075,4.25,1734,0.17071
2.075,4.75,1791,0.10408
2.075,5.25,1824,0.07318
2.075,5.75,1862,0.04928
2.075,6.25,1748,0.03115
2.075,6.75,1711,0.02163
2.075,7.25,1623,0.01408
2.075,7.75,1567,0.01013
2.075,8.25,1399,0.00667
2.075,8.75,1277,0.00457
2.075,9.25,1120,0.00300
2.075,9.75,1025,0.00202
2.075,10.25,849,0.00126
2.075,10.75,613,0.00077
2.125,2.25,966,0.90341
2.125,2.75,1359,0.62528
2.125,3.25,1587,0.41208
2.125,3.75,1651,0.24992
2.125,4.25,1772,0.15800
2.125,4.75,1714,0.09038
2.125,5.25,1845,0.06958
2.125,5.75,1837,0.04846
2.125,6.25,1757,0.03031
2.125,6.75,1685,0.02129
2.125,7.25,1569,0.01373
2.125,7.75,1535,0.00978
2.125,8.25,1402,0.00656
2.125,8.75,1303,0.00460
2.125,9.25,1104,0.00287
2.125,9.75,985,0.00187
2.125,10.25,810,0.00125
2.125,10.75,481,0.00064
2.175,2.25,943,0.85282
2.175,2.75,1372,0.65273
2.175,3.25,1643,0.42759
2.175,3.75,1727,0.24624
