w_val,q2_val,gen_events,weight,rec_events,weight_rec,flux,cross_section,formfactor,formfactor_krishna,cs_scaled,cs_scaled_krishna,cs_scaled_unc,cs_scaled_krishna_unc,cs_unc
1.725,9.25,17453,0.0466,1185,0.00257,1e-05,0.38691,0.93728,0.78699,0.36264,0.30449,0.00345,0.00289,0.00368
1.725,9.75,17489,0.03586,1016,0.00166,1e-05,0.3444,0.92284,0.76899,0.31782,0.26484,0.00301,0.00251,0.00326
1.725,10.25,17697,0.02817,879,0.00105,1e-05,0.30784,0.90929,0.75221,0.27991,0.23156,0.00264,0.00218,0.0029
1.725,10.75,17582,0.02242,750,0.00072,0.0,0.28219,0.89652,0.73653,0.25299,0.20784,0.0024,0.00197,0.00267
1.775,2.25,17383,19.71924,694,0.73093,0.00024,4.80917,1.37731,1.39677,6.62374,6.71731,0.0663,0.06724,0.04814
1.775,2.75,17401,9.32999,996,0.52653,0.00015,3.49633,1.31071,1.29729,4.58266,4.53576,0.04552,0.04506,0.03473
1.775,3.25,17505,4.75279,1190,0.32562,0.00011,2.5709,1.25573,1.21703,3.22836,3.12886,0.0318,0.03082,0.02533
1.775,3.75,17321,2.62051,1324,0.19605,8e-05,1.99333,1.20923,1.15047,2.41039,2.29326,0.02362,0.02248,0.01954
1.775,4.25,17706,1.58529,1485,0.13006,6e-05,1.5881,1.16914,1.09409,1.85672,1.73752,0.01799,0.01684,0.01539
1.775,4.75,17339,0.96373,1477,0.07759,4e-05,1.29258,1.13406,1.04552,1.46586,1.35141,0.01433,0.01321,0.01263
1.775,5.25,17525,0.62336,1666,0.05608,3e-05,1.06123,1.10298,1.0031,1.17051,1.06451,0.0113,0.01028,0.01025
1.775,5.75,17435,0.40686,1652,0.03706,3e-05,0.87704,1.07516,0.96562,0.94296,0.84689,0.00919,0.00826,0.00855
1.775,6.25,17540,0.27583,1721,0.02627,2e-05,0.73303,1.05004,0.93219,0.76972,0.68333,0.00743,0.0066,0.00708
1.775,6.75,17391,0.19519,1594,0.01697,2e-05,0.64016,1.0272,0.90213,0.65757,0.5775,0.00639,0.00561,0.00622
1.775,7.25,17644,0.13918,1578,0.01228,1e-05,0.54401,1.00629,0.87489,0.54743,0.47595,0.00525,0.00456,0.00522
1.775,7.75,17580,0.10163,1447,0.00799,1e-05,0.47706,0.98704,0.85007,0.47088,0.40553,0.00452,0.00389,0.00458
1.775,8.25,17443,0.07463,1379,0.00551,1e-05,0.41844,0.96924,0.82732,0.40556,0.34618,0.00389,0.00332,0.00401
1.775,8.75,17464,0.05686,1367,0.00402,1e-05,0.37421,0.9527,0.80637,0.35651,0.30175,0.00342,0.00289,0.00359
1.775,9.25,17532,0.04303,1196,0.00265,1e-05,0.32897,0.93728,0.78699,0.30834,0.2589,0.00295,0.00248,0.00315
1.775,9.75,17647,0.03366,1005,0.00168,1e-05,0.296,0.92284,0.76899,0.27316,0.22762,0.0026,0.00216,0.00282
1.775,10.25,17376,0.02599,878,0.00121,1e-05,0.26692,0.90929,0.75221,0.2427,0.20078,0.00233,0.00193,0.00256
1.775,10.75,17570,0.02056,797,0.00089,0.0,0.23872,0.89652,0.73653,0.21402,0.17582,0.00202,0.00166,0.00226
1.825,2.25,17552,19.47724,676,0.71278,0.00025,4.52681,1.37731,1.39677,6.23484,6.32291,0.06356,0.06446,0.04615
1.825,2.75,17468,9.01625,1015,0.53173,0.00016,3.2207,1.31071,1.29729,4.22139,4.17819,0.04259,0.04216,0.0325
1.825,3.25,17547,4.73243,1244,0.33375,0.00011,2.43285,1.25573,1.21703,3.055,2.96084,0.03057,0.02963,0.02434
1.825,3.75,17461,2.65411,1436,0.21761,8e-05,1.90093,1.20923,1.15047,2.29865,2.18696,0.02292,0.02181,0.01896
1.825,4.25,17554,1.57519,1565,0.13296,6e-05,1.50611,1.16914,1.09409,1.76085,1.64781,0.0174,0.01628,0.01488
1.825,4.75,17634,0.96825,1612,0.08683,5e-05,1.20508,1.13406,1.04552,1.36663,1.25993,0.01348,0.01242,0.01188
1.825,5.25,17314,0.61617,1686,0.05918,4e-05,0.99969,1.10298,1.0031,1.10264,1.00279,0.01093,0.00994,0.00991
1.825,5.75,17770,0.41869,1722,0.03839,3e-05,0.83203,1.07516,0.96562,0.89457,0.80343,0.00877,0.00787,0.00816
1.825,6.25,17574,0.28188,1621,0.02608,2e-05,0.70115,1.05004,0.93219,0.73623,0.6536,0.00722,0.00641,0.00687
1.825,6.75,17249,0.1938,1637,0.01806,2e-05,0.59994,1.0272,0.90213,0.61626,0.54122,0.0061,0.00536,0.00594
1.825,7.25,17710,0.14481,1585,0.01295,2e-05,0.5271,1.00629,0.87489,0.53042,0.46116,0.00516,0.00449,0.00513
1.825,7.75,17716,0.10527,1561,0.00897,1e-05,0.45765,0.98704,0.85007,0.45172,0.38903,0.00438,0.00378,0.00444
1.825,8.25,17346,0.07552,1372,0.00598,1e-05,0.39688,0.96924,0.82732,0.38467,0.32834,0.00375,0.0032,0.00387
1.825,8.75,17339,0.05807,1352,0.00432,1e-05,0.3583,0.9527,0.80637,0.34135,0.28892,0.00333,0.00281,0.00349
1.825,9.25,17366,0.04388,1238,0.00301,1e-05,0.31484,0.93728,0.78699,0.29509,0.24778,0.00287,0.00241,0.00306
1.825,9.75,17590,0.03446,1044,0.002,1e-05,0.28227,0.92284,0.76899,0.26049,0.21706,0.00251,0.00209,0.00272
1.825,10.25,17491,0.02674,893,0.00127,1e-05,0.25301,0.90929,0.75221,0.23006,0.19032,0.00222,0.00183,0.00244
1.825,10.75,17466,0.02121,764,0.00084,1e-05,0.22953,0.89652,0.73653,0.20578,0.16906,0.00198,0.00162,0.0022
1.875,2.25,17151,18.92997,714,0.82732,0.00025,4.35418,1.37731,1.39677,5.99708,6.08179,0.06547,0.06639,0.04753
1.875,2.75,17468,9.08362,1051,0.59622,0.00017,3.12052,1.31071,1.29729,4.09008,4.04822,0.04388,0.04343,0.03348
1.875,3.25,17508,4.76306,1276,0.37753,0.00012,2.34965,1.25573,1.21703,2.95052,2.85959,0.03182,0.03084,0.02534
1.875,3.75,17374,2.67219,1456,0.24254,8e-05,1.83491,1.20923,1.15047,2.21882,2.111,0.02374,0.02258,0.01963
1.875,4.25,17577,1.59897,1511,0.14662,6e-05,1.45204,1.16914,1.09409,1.69763,1.58865,0.01768,0.01654,0.01512
1.875,4.75,17331,0.983,1613,0.09486,5e-05,1.18066,1.13406,1.04552,1.33894,1.2344,0.01425,0.01314,0.01256
1.875,5.25,17440,0.63527,1706,0.06532,4e-05,0.96821,1.10298,1.0031,1.06791,0.97121,0.01121,0.01019,0.01016
1.875,5.75,17472,0.42399,1683,0.044,3e-05,0.80914,1.07516,0.96562,0.86996,0.78132,0.00913,0.0082,0.00849
1.875,6.25,17711,0.29436,1695,0.02837,2e-05,0.68471,1.05004,0.93219,0.71898,0.63828,0.0075,0.00666,0.00715
1.875,6.75,17418,0.20657,1669,0.02088,2e-05,0.59576,1.0272,0.90213,0.61197,0.53745,0.00638,0.0056,0.00621
1.875,7.25,17526,0.15048,1639,0.01482,2e-05,0.51989,1.00629,0.87489,0.52315,0.45484,0.00538,0.00467,0.00534
1.875,7.75,17575,0.11167,1605,0.00985,1e-05,0.45898,0.98704,0.85007,0.45303,0.39016,0.00467,0.00402,0.00473
1.875,8.25,17370,0.08114,1368,0.00628,1e-05,0.39882,0.96924,0.82732,0.38655,0.32995,0.00398,0.0034,0.00411
1.875,8.75,17610,0.06376,1331,0.00482,1e-05,0.36235,0.9527,0.80637,0.34521,0.29218,0.00357,0.00302,0.00375
1.875,9.25,17353,0.04766,1139,0.00289,1e-05,0.31972,0.93728,0.78699,0.29966,0.25161,0.00311,0.00261,0.00332
1.875,9.75,17655,0.03766,1031,0.00204,1e-05,0.2868,0.92284,0.76899,0.26467,0.22054,0.00271,0.00226,0.00293
1.875,10.25,17294,0.02892,889,0.00131,1e-05,0.25794,0.90929,0.75221,0.23454,0.19403,0.00243,0.00201,0.00267
1.875,10.75,17436,0.02325,716,0.00083,1e-05,0.23462,0.89652,0.73653,0.21034,0.1728,0.00215,0.00176,0.0024
1.925,2.25,17580,19.25495,782,0.87159,0.00026,4.19745,1.37731,1.39677,5.7812,5.86287,0.06049,0.06134,0.04392
1.925,2.75,17297,9.05153,1168,0.64544,0.00017,3.03381,1.31071,1.29729,3.97643,3.93574,0.04114,0.04072,0.03139
1.925,3.25,17601,4.80383,1336,0.40371,0.00012,2.26732,1.25573,1.21703,2.84714,2.75939,0.02921,0.02831,0.02326
1.925,3.75,17507,2.72024,1515,0.2437,9e-05,1.77649,1.20923,1.15047,2.14817,2.04379,0.02216,0.02108,0.01833
1.925,4.25,17269,1.6221,1610,0.16395,7e-05,1.4324,1.16914,1.09409,1.67467,1.56717,0.01727,0.01617,0.01478
1.925,4.75,17464,1.03074,1709,0.10429,5e-05,1.17058,1.13406,1.04552,1.32751,1.22386,0.01357,0.01251,0.01196
1.925,5.25,17373,0.66193,1676,0.06713,4e-05,0.96262,1.10298,1.0031,1.06175,0.9656,0.01096,0.00997,0.00994
