w_val,q2_val,gen_events,flux,weight,cross_section,formfactor,cs_scaled
1.775,3.25,72286,0.00012,21.57746,2.47603,1.25573,3.10923
1.775,3.85,100011,0.00008,15.23056,1.84682,1.20075,2.21757
1.775,4.6,114092,0.00005,8.29839,1.33271,1.14412,1.52478
1.775,5.5,143493,0.00004,4.84571,0.95010,1.08870,1.03437
1.775,6.5,143135,0.00002,2.28202,0.67885,1.03836,0.70489
1.775,7.5,143750,0.00002,1.19495,0.51014,0.99647,0.50834
1.775,8.5,142889,0.00001,0.66052,0.39375,0.96082,0.37832
1.775,10.0,286588,0.00001,0.63636,0.29284,0.91596,0.26823
1.775,12.0,287775,0.00000,0.26102,0.19841,0.86759,0.17214
1.775,14.0,287781,0.00000,0.12133,0.14326,0.82833,0.11867
1.775,16.5,430583,0.00000,0.08074,0.10317,0.78815,0.08132
1.775,19.5,429765,0.00000,0.03399,0.07186,0.74904,0.05383
1.775,23.0,574293,0.00000,0.01964,0.05147,0.71209,0.03665
1.775,27.5,717597,0.00000,0.00979,0.03560,0.67395,0.02400
1.8250000000000002,2.2,57522,0.00029,73.45140,4.43686,1.38479,6.14411
1.8250000000000002,2.7,86311,0.00019,52.89727,3.24387,1.31678,4.27145
1.8250000000000002,3.25,71785,0.00013,21.20250,2.32423,1.25573,2.91861
1.8250000000000002,3.85,100138,0.00009,15.18503,1.73730,1.20075,2.08606
1.8250000000000002,4.6,114935,0.00006,8.37014,1.25538,1.14412,1.43631
1.8250000000000002,5.5,143393,0.00004,4.91216,0.90320,1.08870,0.98331
1.8250000000000002,6.5,142680,0.00003,2.32402,0.64771,1.03836,0.67256
1.8250000000000002,7.5,143104,0.00002,1.21674,0.48595,0.99647,0.48423
1.8250000000000002,8.5,142775,0.00001,0.67606,0.37476,0.96082,0.36007
1.8250000000000002,10.0,286776,0.00001,0.65492,0.27905,0.91596,0.25560
1.8250000000000002,12.0,286969,0.00000,0.26943,0.18971,0.86759,0.16459
1.8250000000000002,14.0,285876,0.00000,0.12474,0.13665,0.82833,0.11319
1.8250000000000002,16.5,430608,0.00000,0.08419,0.09890,0.78815,0.07795
1.8250000000000002,19.5,429172,0.00000,0.03551,0.06897,0.74904,0.05166
1.8250000000000002,23.0,573841,0.00000,0.02051,0.04923,0.71209,0.03505
1.8250000000000002,27.5,717143,0.00000,0.01029,0.03418,0.67395,0.02303
1.875,2.2,57380,0.00030,72.69956,4.24103,1.38479,5.87292
1.875,2.7,86141,0.00020,52.61794,3.09726,1.31678,4.07840
1.875,3.25,71861,0.00013,21.47242,2.24170,1.25573,2.81497
1.875,3.85,100554,0.00009,15.57805,1.68508,1.20075,2.02335
1.875,4.6,114783,0.00006,8.62675,1.22491,1.14412,1.40145
1.875,5.5,142834,0.00004,5.05794,0.87925,1.08870,0.95724
1.875,6.5,143702,0.00003,2.44539,0.63506,1.03836,0.65942
1.875,7.5,142953,0.00002,1.28303,0.48005,0.99647,0.47836
1.875,8.5,143496,0.00001,0.72309,0.37236,0.96082,0.35777
1.875,10.0,286763,0.00001,0.69917,0.27736,0.91596,0.25405
1.875,12.0,287047,0.00001,0.29189,0.19072,0.86759,0.16546
1.875,14.0,287011,0.00000,0.13688,0.13830,0.82833,0.11456
1.875,16.5,430604,0.00000,0.09254,0.10041,0.78815,0.07914
1.875,19.5,430027,0.00000,0.03949,0.07053,0.74904,0.05283
1.875,23.0,572946,0.00000,0.02302,0.05088,0.71209,0.03623
1.875,27.5,716986,0.00000,0.01163,0.03544,0.67395,0.02389
1.9249999999999998,2.2,57208,0.00031,73.46257,4.15926,1.38479,5.75970
1.9249999999999998,2.7,86249,0.00020,53.58972,3.03167,1.31678,3.99203
1.9249999999999998,3.25,71559,0.00014,21.83514,2.19232,1.25573,2.75295
1.9249999999999998,3.85,99769,0.00010,15.89273,1.65240,1.20075,1.98412
1.9249999999999998,4.6,114730,0.00006,8.89851,1.20053,1.14412,1.37356
1.9249999999999998,5.5,143280,0.00004,5.31774,0.87175,1.08870,0.94907
1.9249999999999998,6.5,143093,0.00003,2.56384,0.63033,1.03836,0.65450
1.9249999999999998,7.5,143470,0.00002,1.35626,0.47529,0.99647,0.47362
1.9249999999999998,8.5,143472,0.00001,0.77016,0.37199,0.96082,0.35741
1.9249999999999998,10.0,287113,0.00001,0.75263,0.27884,0.91596,0.25541
1.9249999999999998,12.0,286585,0.00001,0.31378,0.19143,0.86759,0.16608
1.9249999999999998,14.0,285726,0.00000,0.14824,0.13991,0.82833,0.11590
1.9249999999999998,16.5,429807,0.00000,0.10111,0.10197,0.78815,0.08037
1.9249999999999998,19.5,429510,0.00000,0.04340,0.07182,0.74904,0.05380
1.9249999999999998,23.0,573016,0.00000,0.02552,0.05208,0.71209,0.03708
1.9249999999999998,27.5,718437,0.00000,0.01309,0.03666,0.67395,0.02471
1.975,2.2,56709,0.00032,74.06228,4.10957,1.38479,5.69088
1.975,2.7,84744,0.00021,53.97506,3.00268,1.31678,3.95386
1.975,3.25,71136,0.00014,22.43236,2.17873,1.25573,2.73590
1.975,3.85,99658,0.00010,16.50571,1.64527,1.20075,1.97556
1.975,4.6,113492,0.00007,9.26573,1.20516,1.14412,1.37885
1.975,5.5,141075,0.00004,5.47804,0.86636,1.08870,0.94321
1.975,6.5,141832,0.00003,2.67077,0.62706,1.03836,0.65111
1.975,7.5,141724,0.00002,1.41229,0.47291,0.99647,0.47124
1.975,8.5,141360,0.00002,0.80486,0.37153,0.96082,0.35697
1.975,10.0,284638,0.00001,0.78780,0.27642,0.91596,0.25319
1.975,12.0,284074,0.00001,0.32880,0.18941,0.86759,0.16433
1.975,14.0,285969,0.00000,0.15752,0.13869,0.82833,0.11488
1.975,16.5,426771,0.00000,0.10629,0.10054,0.78815,0.07924
1.975,19.5,428635,0.00000,0.04579,0.07055,0.74904,0.05284
1.975,23.0,570984,0.00000,0.02680,0.05087,0.71209,0.03622
1.975,27.5,716506,0.00000,0.01370,0.03558,0.67395,0.02398
2.025,2.2,57487,0.00033,71.62337,3.82257,1.38479,5.29346
2.025,2.7,85736,0.00022,52.61067,2.80557,1.31678,3.69431
2.025,3.25,71856,0.00015,22.01090,2.04286,1.25573,2.56527
2.025,3.85,100562,0.00010,16.27699,1.54564,1.20075,1.85592
2.025,4.6,114535,0.00007,9.09353,1.12195,1.14412,1.28365
2.025,5.5,143129,0.00005,5.44917,0.80994,1.08870,0.88178
2.025,6.5,143192,0.00003,2.66338,0.58852,1.03836,0.61110
2.025,7.5,142943,0.00002,1.40706,0.44259,0.99647,0.44103
2.025,8.5,143566,0.00002,0.80471,0.34571,0.96082,0.33216
2.025,10.0,287869,0.00001,0.79160,0.25882,0.91596,0.23706
2.025,12.0,285722,0.00001,0.32900,0.17703,0.86759,0.15359
2.025,14.0,286424,0.00000,0.15624,0.12871,0.82833,0.10661
2.025,16.5,430656,0.00000,0.10654,0.09336,0.78815,0.07358
2.025,19.5,430011,0.00000,0.04581,0.06560,0.74904,0.04914
2.025,23.0,574031,0.00000,0.02680,0.04708,0.71209,0.03352
2.025,27.5,716929,0.00000,0.01367,0.03293,0.67395,0.02219
2.075,2.2,57803,0.00033,71.83543,3.73003,1.38479,5.16531
2.075,2.7,86112,0.00022,52.78628,2.72728,1.31678,3.59122
2.075,3.25,71239,0.00015,21.77811,1.97476,1.25573,2.47976
2.075,3.85,99906,0.00011,16.23849,1.49724,1.20075,1.79781
2.075,4.6,114676,0.00007,9.17069,1.08564,1.14412,1.24210
2.075,5.5,142804,0.00005,5.49695,0.78360,1.08870,0.85310
2.075,6.5,143035,0.00003,2.68810,0.56700,1.03836,0.58875
2.075,7.5,142701,0.00002,1.43410,0.42963,0.99647,0.42811
2.075,8.5,143352,0.00002,0.81456,0.33242,0.96082,0.31939
2.075,10.0,286838,0.00001,0.80227,0.24895,0.91596,0.22803
2.075,12.0,287476,0.00001,0.33559,0.16919,0.86759,0.14679
2.075,14.0,286341,0.00000,0.15863,0.12292,0.82833,0.10182
2.075,16.5,430856,0.00000,0.10797,0.08870,0.78815,0.06991
2.075,19.5,429785,0.00000,0.04635,0.06213,0.74904,0.04654
2.075,23.0,574252,0.00000,0.02714,0.04448,0.71209,0.03167
2.075,27.5,716292,0.00000,0.01377,0.03088,0.67395,0.02081
2.125,2.2,57618,0.00034,70.02415,3.57911,1.38479,4.95631
2.125,2.7,86110,0.00023,52.99255,2.67270,1.31678,3.51935
2.125,3.25,71663,0.00016,22.01407,1.92819,1.25573,2.42128
2.125,3.85,100531,0.00011,16.32664,1.44780,1.20075,1.73845
2.125,4.6,114570,0.00008,9.30307,1.06244,1.14412,1.21556
2.125,5.5,143298,0.00005,5.58604,0.76183,1.08870,0.82940
2.125,6.5,143211,0.00003,2.75986,0.55622,1.03836,0.57755
2.125,7.5,144028,0.00002,1.48158,0.41949,0.99647,0.41801
2.125,8.5,143690,0.00002,0.84518,0.32745,0.96082,0.31462
2.125,10.0,287211,0.00001,0.82625,0.24294,0.91596,0.22252
2.125,12.0,287419,0.00001,0.34667,0.16533,0.86759,0.14344
2.125,14.0,287064,0.00000,0.16398,0.11957,0.82833,0.09904
2.125,16.5,430246,0.00000,0.11187,0.08659,0.78815,0.06825
2.125,19.5,430147,0.00000,0.04799,0.06033,0.74904,0.04519
2.125,23.0,573121,0.00000,0.02805,0.04312,0.71209,0.03070
2.125,27.5,716979,0.00000,0.01429,0.02989,0.67395,0.02015
2.175,2.2,57532,0.00035,68.91245,3.47078,1.38479,4.80630
2.175,2.7,86242,0.00024,51.82634,2.55494,1.31678,3.36429
2.175,3.25,71982,0.00016,21.91663,1.86254,1.25573,2.33884
2.175,3.85,100035,0.00012,16.33610,1.41313,1.20075,1.69682
2.175,4.6,115054,0.00008,9.31099,1.02365,1.14412,1.17118
2.175,5.5,143015,0.00005,5.64244,0.74248,1.08870,0.80833
2.175,6.5,143558,0.00004,2.79394,0.53902,1.03836,0.55969
2.175,7.5,143496,0.00003,1.49686,0.40702,0.99647,0.40559
2.175,8.5,143446,0.00002,0.85622,0.31717,0.96082,0.30475
2.175,10.0,286072,0.00001,0.83647,0.23498,0.91596,0.21524
2.175,12.0,286797,0.00001,0.35307,0.16008,0.86759,0.13889
2.175,14.0,286127,0.00001,0.16673,0.11541,0.82833,0.09560
2.175,16.5,430134,0.00000,0.11376,0.08312,0.78815,0.06551
2.175,19.5,430215,0.00000,0.04902,0.05799,0.74904,0.04344
2.175,23.0,573261,0.00000,0.02860,0.04126,0.71209,0.02938
2.175,27.5,717063,0.00000,0.01456,0.02852,0.67395,0.01922
2.225,2.2,57266,0.00035,67.24066,3.35598,1.38479,4.64732
2.225,2.7,86117,0.00024,51.61759,2.50128,1.31678,3.29364
2.225,3.25,71398,0.00017,21.66629,1.81403,1.25573,2.27793
2.225,3.85,100270,0.00012,16.50270,1.38628,1.20075,1.66457
2.225,4.6,114401,0.00008,9.41960,1.00969,1.14412,1.15522
2.225,5.5,143569,0.00006,5.78291,0.73202,1.08870,0.79695
2.225,6.5,143781,0.00004,2.85703,0.52960,1.03836,0.54991
2.225,7.5,143739,0.00003,1.52949,0.39840,0.99647,0.39699
2.225,8.5,143504,0.00002,0.87190,0.30904,0.96082,0.29694
2.225,10.0,286412,0.00001,0.85237,0.22825,0.91596,0.20907
2.225,12.0,286637,0.00001,0.35993,0.15533,0.86759,0.13476
2.225,14.0,288309,0.00001,0.17152,0.11180,0.82833,0.09261
2.225,16.5,430266,0.00000,0.11666,0.08064,0.78815,0.06356
2.225,19.5,430104,0.00000,0.04977,0.05559,0.74904,0.04164
2.225,23.0,573195,0.00000,0.02910,0.03954,0.71209,0.02815
2.225,27.5,715851,0.00000,0.01473,0.02714,0.67395,0.01829
2.275,2.2,57440,0.00035,68.10831,3.35053,1.38479,4.63978
2.275,2.7,85893,0.00024,52.22835,2.49667,1.31678,3.28756
2.275,3.25,71195,0.00017,22.06762,1.81525,1.25573,2.27946
2.275,3.85,99843,0.00012,16.67894,1.37314,1.20075,1.64880
2.275,4.6,115190,0.00008,9.74779,1.00867,1.14412,1.15404
2.275,5.5,143038,0.00006,5.95725,0.73286,1.08870,0.79786
2.275,6.5,142924,0.00004,2.94979,0.53076,1.03836,0.55112
2.275,7.5,143223,0.00003,1.57415,0.39592,0.99647,0.39453
2.275,8.5,143553,0.00002,0.90719,0.30852,0.96082,0.29644
2.275,10.0,288100,0.00001,0.89660,0.22840,0.91596,0.20921
2.275,12.0,286811,0.00001,0.37755,0.15531,0.86759,0.13475
2.275,14.0,286728,0.00001,0.17953,0.11194,0.82833,0.09272
2.275,16.5,430259,0.00000,0.12189,0.07994,0.78815,0.06301
2.275,19.5,430532,0.00000,0.05235,0.05527,0.74904,0.04140
2.275,23.0,573659,0.00000,0.03053,0.03912,0.71209,0.02786
2.275,27.5,716309,0.00000,0.01541,0.02669,0.67395,0.01799
2.325,2.2,57423,0.00036,67.48703,3.29020,1.38479,4.55623
2.325,2.7,85788,0.00025,51.63776,2.43717,1.31678,3.20921
2.325,3.25,71586,0.00017,22.50384,1.80782,1.25573,2.27014
2.325,3.85,100465,0.00012,16.97432,1.35857,1.20075,1.63130
2.325,4.6,114514,0.00009,9.81822,0.99579,1.14412,1.13930
2.325,5.5,143331,0.00006,6.07443,0.72387,1.08870,0.78808
2.325,6.5,143438,0.00004,3.01494,0.52287,1.03836,0.54293
2.325,7.5,143374,0.00003,1.62396,0.39356,0.99647,0.39217
2.325,8.5,143959,0.00002,0.94827,0.30943,0.96082,0.29731
2.325,10.0,286549,0.00001,0.93106,0.22876,0.91596,0.20953
2.325,12.0,287426,0.00001,0.39224,0.15396,0.86759,0.13357
2.325,14.0,286734,0.00001,0.18736,0.11141,0.82833,0.09228
2.325,16.5,429680,0.00000,0.12723,0.07947,0.78815,0.06263
2.325,19.5,430136,0.00000,0.05449,0.05462,0.74904,0.04091
2.325,23.0,573386,0.00000,0.03182,0.03858,0.71209,0.02747
2.325,27.5,715926,0.00000,0.01600,0.02616,0.67395,0.01763
2.375,2.2,57941,0.00036,68.64105,3.29220,1.38479,4.55901
2.375,2.7,85856,0.00025,52.77169,2.45926,1.31678,3.23830
2.375,3.25,71489,0.00018,22.91947,1.81439,1.25573,2.27838
2.375,3.85,100323,0.00013,17.52247,1.37692,1.20075,1.65334
2.375,4.6,114678,0.00009,10.22278,1.01114,1.14412,1.15686
2.375,5.5,142864,0.00006,6.26368,0.72859,1.08870,0.79322
2.375,6.5,144480,0.00004,3.16258,0.52796,1.03836,0.54821
2.375,7.5,143595,0.00003,1.70320,0.39846,0.99647,0.39705
2.375,8.5,142979,0.00002,0.97516,0.30901,0.96082,0.29691
2.375,10.0,286890,0.00001,0.96977,0.22885,0.91596,0.20961
2.375,12.0,287186,0.00001,0.41094,0.15473,0.86759,0.13424
2.375,14.0,287028,0.00001,0.19588,0.11122,0.82833,0.09213
2.375,16.5,429519,0.00000,0.13234,0.07883,0.78815,0.06213
2.375,19.5,430668,0.00000,0.05661,0.05389,0.74904,0.04036
2.375,23.0,573101,0.00000,0.03283,0.03776,0.71209,0.02689
2.375,27.5,718192,0.00000,0.01648,0.02540,0.67395,0.01712
2.425,2.2,57158,0.00036,66.52999,3.21664,1.38479,4.45437
2.425,2.7,85869,0.00025,51.23050,2.36334,1.31678,3.11200
2.425,3.25,72242,0.00018,22.71559,1.75473,1.25573,2.20346
2.425,3.85,100567,0.00013,17.60511,1.35585,1.20075,1.62804
2.425,4.6,114708,0.00009,10.27153,0.99408,1.14412,1.13735
2.425,5.5,142912,0.00006,6.30665,0.71505,1.08870,0.77847
2.425,6.5,143462,0.00004,3.17646,0.51895,1.03836,0.53885
2.425,7.5,143481,0.00003,1.73547,0.39372,0.99647,0.39234
2.425,8.5,143575,0.00002,1.00053,0.30521,0.96082,0.29325
2.425,10.0,286522,0.00002,0.99135,0.22574,0.91596,0.20677
2.425,12.0,286568,0.00001,0.42031,0.15235,0.86759,0.13217
2.425,14.0,286258,0.00001,0.19940,0.10876,0.82833,0.09009
2.425,16.5,430428,0.00000,0.13592,0.07719,0.78815,0.06084
2.425,19.5,429302,0.00000,0.05753,0.05234,0.74904,0.03920
2.425,23.0,573248,0.00000,0.03338,0.03647,0.71209,0.02597
2.425,27.5,716142,0.00000,0.01666,0.02438,0.67395,0.01643
